Instance, Avg Running Time (s), Number of Iterations
input/m50.in,1.46748e-05,340721
input/m58.in,1.36376e-05,367660
input/m67.in,1.95277e-05,256098
input/m78.in,6.91076e-06,725391
input/m91.in,2.98337e-05,167663
input/m106.in,2.00666e-05,249918
input/m124.in,3.6054e-05,139097
input/m145.in,1.62621e-05,307648
input/m169.in,5.24352e-05,95413
input/m197.in,4.79813e-05,104499
input/m230.in,7.31462e-05,68534
input/m269.in,2.90689e-05,172521
input/m314.in,8.78231e-05,56944
input/m367.in,7.39771e-05,67629
input/m429.in,0.000127039,39484
input/m501.in,5.87339e-05,85351
input/m586.in,0.000162091,30927
input/m685.in,0.000137508,36376
input/m801.in,0.00024173,20738
input/m937.in,8.9762e-05,55714
input/m1096.in,0.000318795,15728
input/m1282.in,0.000261757,19159
input/m1499.in,0.000454851,10997
input/m1753.in,0.000178682,28005
input/m2051.in,0.000595689,8397
input/m2399.in,0.000495445,10098
input/m2806.in,0.000871147,5743
input/m3283.in,0.000336962,14883
input/m3841.in,0.00114155,4380
input/m4493.in,0.00101833,4911
input/m5256.in,0.00163979,3051
input/m6149.in,0.000643804,7771
input/m7194.in,0.00215378,2328
input/m8416.in,0.00171126,2923
