Instance, Avg Running Time (s), Number of Iterations
input/m50.in,3.19925e-05,156724
input/m58.in,4.45767e-05,112211
input/m67.in,4.93783e-05,101259
input/m78.in,0.000519373,9627
input/m91.in,6.02495e-05,83204
input/m106.in,6.59344e-05,76015
input/m124.in,7.2857e-05,68806
input/m145.in,0.00249875,2007
input/m169.in,0.000108597,46051
input/m197.in,0.000153298,32714
input/m230.in,0.000156416,32062
input/m269.in,0.0158202,317
input/m314.in,0.000195612,25571
input/m367.in,0.000322674,15542
input/m429.in,0.000276476,18139
input/m501.in,0.119048,42
input/m586.in,0.000363881,13749
input/m685.in,0.000430214,11657
input/m801.in,0.000513397,9741
input/m937.in,1.1092,5
input/m1096.in,0.000698468,7180
input/m1282.in,0.00132837,3764
input/m1499.in,0.000948237,5274
input/m1753.in,13.594,1
input/m2051.in,0.00133689,3749
input/m2399.in,0.00193516,2591
input/m2806.in,0.00180165,2783
input/m3283.in,202.813,1
input/m3841.in,0.00262763,1904
input/m4493.in,0.00498604,1003
input/m5256.in,0.00335345,1491
input/m6149.in,3714.94,1
input/m7194.in,0.00466418,1072
input/m8416.in,0.00652021,767
input/m9846.in,0.00686283,729
