Instance, Avg Running Time (s), Number of Iterations, Value
input/m50.in,7.23096e-06,691472,455.333333333333
input/m58.in,5.87645692029061e-06,850853,646
input/m67.in,8.11328727157023e-06,616274,1562
input/m78.in,2.83593445137193e-06,1763088,1076
input/m91.in,1.17733235379296e-05,424689,1293
input/m106.in,8.62231522820821e-06,579891,1725
input/m124.in,1.39763241164167e-05,357748,3274
input/m145.in,4.99421869474859e-06,1001158,2966
input/m169.in,2.03816377859119e-05,245319,3272
input/m197.in,1.65970795796274e-05,301258,4313
input/m230.in,2.63306914946886e-05,189893,8113
input/m269.in,1.00624028979721e-05,496900,6770
input/m314.in,3.32228121117116e-05,150499,8485
input/m367.in,2.91306098193526e-05,171641,11029
input/m429.in,4.70280003762231e-05,106320,18886
input/m501.in,1.81699796496812e-05,275180,18225
input/m586.in,6.05572080855951e-05,82567,23862
input/m685.in,5.04758222455703e-05,99058,29748
input/m801.in,8.8160272233585e-05,56716,46388
input/m937.in,3.32257685100095e-05,150486,48627
input/m1096.in,0.000117134423464415,42686,63723
input/m1282.in,9.82904601835849e-05,50871,80086
input/m1499.in,0.00016253952928934,30762,116121
input/m1753.in,6.46051373491263e-05,77394,131250
input/m2051.in,0.000227225721426955,22005,167865
input/m2399.in,0.000189708919831661,26357,216249
input/m2806.in,0.000309441611486043,16159,304764
input/m3283.in,0.000118855400779746,42068,354401
input/m3841.in,0.000412512828974559,12121,456215
input/m4493.in,0.000366233428550576,13653,578835
input/m5256.in,0.000614109801031676,8142,805600
input/m6149.in,0.000232069850552273,21546,955114
input/m7194.in,0.00080993715581479,6174,1240551
input/m8416.in,0.000692341456660335,7222,1592267
input/m9846.in,0,0,0
input/m11519.in,0.000433254,11541,2657385
input/m13477.in,0.00156918418575465,3187,3379083
input/m15768.in,0.00130130809263595,3843,4344096
input/m18448.in,0.00249188540109619,2007,5751239
input/m21584.in,0.000890823980046323,5613,7164528
input/m25253.in,0.00316327450980392,1581,9172388
input/m29546.in,0.00271354772234258,1844,11864606
input/m34568.in,0,0,0
input/m40444.in,0.00174631,2865,19668481
input/m47319.in,0.00636270992366411,786,25304273
input/m55363.in,0.00536878540772525,932,32633200
input/m64774.in,0,0,0
input/m75785.in,0.00353144,1416,53890371
input/m88668.in,0.0125452030075188,399,69476973
input/m103741.in,0.00596157210965433,839,32713.3333333333
