k,file,runtime,nRuns
3,ulisses16.mfp,4.690939,1066
4,ulisses16.mfp,4.903682,1020
5,ulisses16.mfp,5.838709,857
3,berlin52-3.mfp,693.447416,8
4,berlin52-3.mfp,787.014665,7
5,berlin52-3.mfp,797.150684,7
3,berlin52-2.mfp,995.170155,6
4,berlin52-2.mfp,1193.811031,5
5,berlin52-2.mfp,1319.908670,4
3,berlin52-1.mfp,1949.387770,3
4,berlin52-1.mfp,2466.909340,3
5,berlin52-1.mfp,3229.585697,2
3,lin105-3.mfp,25282.236872,1
4,lin105-3.mfp,38616.514053,1
5,lin105-3.mfp,48244.775674,1
3,lin105-2.mfp,60388.261078,1
4,lin105-2.mfp,82482.154848,1
5,lin105-2.mfp,104986.526541,1
3,lin105-1.mfp,97740.093805,1
4,lin105-1.mfp,142710.135654,1
5,lin105-1.mfp,180184.823484,1
3,lin318-3.mfp,9527824.209668,1
4,lin318-3.mfp,9822437.347690,1
5,lin318-3.mfp,9912608.598590,1
